Ref,Val,Package,PosX,PosY,Rot,Side
"J15","Conn_01x06_Pin","PinSocket_1x06_P2.54mm_Vertical",35.696800,66.150000,90.000000,top
"L1","330nh MLJ1005WR33JT000","INDC1005X55N",75.610000,41.070000,180.000000,top
"L2","330nh MLJ1005WR33JT000","INDC1005X55N",72.320000,39.830000,0.000000,top
"L3","330nh MLJ1005WR33JT000","INDC1005X55N",54.240000,52.280000,0.000000,top
"L4","330nh MLJ1005WR33JT000","INDC1005X55N",54.030000,31.000000,90.000000,top
"L5","0.6uh XEL5030-601ME","IND_XEL5030_3.2_COC",19.150200,19.350000,180.000000,top
"L6","0.6uh XEL5030-601ME","IND_XEL5030_3.2_COC",19.102787,12.974826,180.000000,top
"L7","0.6uh XEL5030-601ME","IND_XEL5030_3.2_COC",-4.256600,19.460000,180.000000,top
"L8","0.6uh XEL5030-601ME","IND_XEL5030_3.2_COC",-4.216600,13.210000,180.000000,top
"L9","0.6uh XEL5030-601ME","IND_XEL5030_3.2_COC",54.343400,12.140000,0.000000,top
"L10","BLM18AG601SN1D  0603","IND_BLM18_0603_MUR",61.150000,47.810000,90.000000,top
"L11","BLM18AG601SN1D  0603","IND_BLM18_0603_MUR",52.690000,28.960000,-90.000000,top
"L12","330nh MLJ1005WR33JT000","INDC1005X55N",74.980000,47.180000,180.000000,top
"L13","33nh LQW15AN33NJ00D","LQW15CNR20J00B",71.940000,46.720000,180.000000,top
"L14","330nh MLJ1005WR33JT000","INDC1005X55N",54.210000,54.350000,0.000000,top
"L15","33nh LQW15AN33NJ00D","LQW15CNR20J00B",56.870000,55.420000,-90.000000,top
"L16","330nh MLJ1005WR33JT000","INDC1005X55N",68.630000,39.810000,0.000000,top
"L17","33nh LQW15AN33NJ00D","LQW15CNR20J00B",71.180000,42.170000,90.000000,top
"L18","330nh MLJ1005WR33JT000","INDC1005X55N",53.800000,44.020000,180.000000,top
"L19","33nh LQW15AN33NJ00D","LQW15CNR20J00B",52.850000,42.000000,180.000000,top
"L20","33nh LQW15AN33NJ00D","LQW15CNR20J00B",74.510000,44.000000,180.000000,top
"L21","33nh LQW15AN33NJ00D","LQW15CNR20J00B",75.230000,39.090000,180.000000,top
"L22","Ferrite BLM18HE152SN1","IND_BLM18_0603_MUR",66.810000,68.890000,0.000000,top
"L23","330 nh 0603","LQM18PH1R0MFRL",68.420000,70.490000,0.000000,top
"L24","BLM18PG-121SND","IND_BLM18_0603_MUR",37.886800,58.730700,90.000000,top
"L25","BLM18PG-121SND","IND_BLM18_0603_MUR",-1.593200,70.015000,0.000000,top
"L26","BLM18AG601SN1D  0603","IND_BLM18_0603_MUR",26.347500,5.950000,0.000000,top
"L27","33nh LQW15AN33NJ00D","LQW15CNR20J00B",58.960000,51.610000,-90.000000,top
"L28","33nh LQW15AN33NJ00D","LQW15CNR20J00B",50.210000,36.380000,90.000000,top
"L29","Ferrite BLM18HE152SN1","IND_BLM18_0603_MUR",66.890000,73.960000,0.000000,top
"L30","330 nh 0603","LQM18PH1R0MFRL",68.490000,72.330000,0.000000,top
"R1","470","R_0402_1005Metric",74.950000,45.920000,180.000000,top
"R2","1k","R_0402_1005Metric",71.330000,44.380000,180.000000,top
"R3","499","R_0805_2012Metric",-7.680000,72.780000,-90.000000,top
"R4","DNP 20.5k","R_0805_2012Metric",9.230000,63.370000,90.000000,top
"R5","499","R_0805_2012Metric",9.590000,59.590000,-90.000000,top
"R6","20.5k","R_0201_0603Metric",30.470000,60.120000,180.000000,top
"R7","20.5k","R_0201_0603Metric",31.570000,60.440000,90.000000,top
"R8","20.5k","R_0201_0603Metric",18.990000,62.890000,90.000000,top
"R9","20.5k","R_0201_0603Metric",33.360000,77.560000,180.000000,top
"R10","20.5k","R_0201_0603Metric",30.450000,75.260000,0.000000,top
"R11","4.7k","R_0201_0603Metric",18.660000,64.040000,0.000000,top
"R12","4.7k","R_0201_0603Metric",30.680000,76.830000,0.000000,top
"R13","4.7k","R_0201_0603Metric",29.750000,76.030000,0.000000,top
"R14","3k","R_0201_0603Metric",41.250000,72.720000,0.000000,top
"R15","3k","R_0201_0603Metric",32.140000,77.050000,-90.000000,top
"R16","3k","R_0201_0603Metric",31.730000,76.000000,0.000000,top
"R17","0 ohms","R_0402_1005Metric",58.275001,18.145001,90.000000,top
"R18","DNP","R_0402_1005Metric",56.945001,15.865001,90.000000,top
"R19","100k","R_0201_0603Metric",52.335001,17.575001,90.000000,top
"R20","100k","R_0201_0603Metric",52.820000,24.560000,90.000000,top
"R21","0 ohms","R_0402_1005Metric",58.700000,25.100000,90.000000,top
"R22","DNP","R_0402_1005Metric",57.440000,22.880000,90.000000,top
"R23","DNP","R_0201_0603Metric",-6.090000,25.060000,0.000000,top
"R24","DNP","R_0201_0603Metric",33.400000,78.570000,0.000000,top
"R25","20.5k","R_0201_0603Metric",71.110000,52.110000,-90.000000,top
"R26","16.9","R_0201_0603Metric",67.440000,64.740000,0.000000,top
"R27","16.9","R_0201_0603Metric",64.390000,63.460000,0.000000,top
"R28","16.9","R_0201_0603Metric",65.980000,64.410000,180.000000,top
"R29","470","R_0402_1005Metric",75.550000,42.170000,180.000000,top
"R30","1k","R_0402_1005Metric",73.490000,41.040000,180.000000,top
"R31","470","R_0402_1005Metric",76.210000,36.610000,90.000000,top
"R32","0 ohms","R_0805_2012Metric",1.880800,3.813500,0.000000,top
"R33","10k-DNP","R_0201_0603Metric",11.206800,9.740000,-90.000000,top
"R34","1k","R_0402_1005Metric",74.660000,36.670000,180.000000,top
"R35","100k","R_0201_0603Metric",11.136800,2.780000,-90.000000,top
"R36","100k","R_0201_0603Metric",10.066800,2.780000,-90.000000,top
"R37","100k","R_0201_0603Metric",8.996800,2.790000,-90.000000,top
"R38","56.2k","R_0201_0603Metric",13.056800,22.290000,0.000000,top
"R39","10k","R_0201_0603Metric",12.636800,20.580000,90.000000,top
"R40","10k","R_0201_0603Metric",14.556800,10.810000,0.000000,top
"R41","10k","R_0201_0603Metric",13.426628,11.820434,0.000000,top
"R42","470","R_0402_1005Metric",68.880000,40.860000,0.000000,top
"R43","16.9","R_0201_0603Metric",4.801637,22.320972,90.000000,top
"R44","4.7k","R_0201_0603Metric",-7.170000,32.460000,90.000000,top
"R45","1k","R_0402_1005Metric",69.360000,42.320000,90.000000,top
"R46","100k","R_0201_0603Metric",3.126800,12.240000,-90.000000,top
"R47","16.5k","R_0201_0603Metric",-6.063200,22.935000,180.000000,top
"R48","10k","R_0201_0603Metric",-6.083200,24.165000,0.000000,top
"R49","26.1k","R_0201_0603Metric",0.716800,10.160000,180.000000,top
"R50","10k","R_0201_0603Metric",1.166800,12.050000,-90.000000,top
"R51","470","R_0402_1005Metric",54.580000,53.320000,0.000000,top
"R52","0 ohms","R_0201_0603Metric",50.889040,14.709111,-90.000000,top
"R53","14.3k","R_0201_0603Metric",65.999301,35.119700,-90.000000,top
"R54","16.9","R_0201_0603Metric",66.650000,36.380000,0.000000,top
"R55","1.05","R_0201_0603Metric",55.929301,44.049700,-90.000000,top
"R57","20.5k","R_0201_0603Metric",70.320000,52.460000,-90.000000,top
"R58","DNP","R_0603_1608Metric",74.460000,53.380000,90.000000,top
"R59","49.9","R_0201_0603Metric",64.525000,48.530000,0.000000,top
"R60","49.9","R_0201_0603Metric",71.140000,58.560000,0.000000,top
"R61","470","R_0402_1005Metric",54.370000,55.390000,0.000000,top
"R62","1k","R_0402_1005Metric",57.080000,51.550000,-90.000000,top
"R63","1k","R_0402_1005Metric",56.630000,53.220000,0.000000,top
"R64","470","R_0402_1005Metric",54.080000,33.180000,-90.000000,top
"R65","470","R_0402_1005Metric",52.020000,44.540000,-90.000000,top
"R66","1k","R_0402_1005Metric",52.170000,35.890000,90.000000,top
"R67","0 ohms","R_0201_0603Metric",31.216800,74.195000,90.000000,top
"R68","10k","R_0201_0603Metric",31.026800,70.055000,90.000000,top
"R69","10k","R_0201_0603Metric",31.026800,67.945000,-90.000000,top
"R70","1k","R_0402_1005Metric",53.460000,40.100000,180.000000,top
"R71","DNP 0 ohms","R_0603_1608Metric",51.040000,26.450000,0.000000,top
"R72","10k","R_0201_0603Metric",40.400000,0.170000,0.000000,top
"R73","10k","R_0201_0603Metric",39.870000,-0.560000,0.000000,top
"R74","10k","R_0201_0603Metric",41.087193,3.062821,0.000000,top
"R75","10k","R_0201_0603Metric",39.400000,2.670000,0.000000,top
"R76","16.9","R_0201_0603Metric",49.111800,55.520000,0.000000,top
